A0A0V1IA49 LSLS2++,3-++                 245-544 152-677 66.1 70.5 78.6 25.7 70.3 19.7
A0A0V1C1U1 LSLS2++,3-++                 162-461 69-612  80.3 78.9 80.2 31.0 77.4 24.6
A0A0V1I907 LSLS2++,3-++                 245-536 152-687 80.2 79.2 80.0 33.3 71.3 22.1
A0A0V0SLQ7 LSLS2++,3-++                 168-494 75-609  76.8 77.1 78.1 28.3 75.4 22.5
A0A0V0UCJ9 LSLS2++,3-++                 169-483 76-635  77.9 77.4 78.8 33.7 75.7 20.8
A0A0V1LPV9 LSLS2++,3-++                 161-475 68-627  78.3 77.7 79.5 31.7 76.9 25.8
A0A0V1NAH7 LSLS2++,3-++                 171-470 78-624  80.7 79.9 80.0 30.8 76.6 23.8
A0A0V0WQX2 LSLS2++,3-++                 169-483 76-635  79.3 79.1 79.3 30.0 76.1 23.3
A0A0V1A2J7 LSLS2++,3-++                 169-483 76-635  79.8 79.6 79.3 29.7 76.1 23.9
A0A0V1I9V3 LSLS2++,3-++                 245-544 152-659 79.4 79.4 80.9 31.3 71.3 17.7
A0A1Y3EYF3 LSLS2++,3-++                 161-452 68-577  44.6 47.4 76.4 25.7 74.1 24.3
A0A0V0VEV4 LSLS2++,3-++                 169-483 76-635  76.8 77.2 78.8 31.4 75.6 23.9
A0A0V1FSJ1 LSLS2++,3-++                 161-467 68-621  79.9 80.6 82.0 30.4 78.9 23.1
A0A0V1IA25 LSLS2++,3-++                 245-544 152-696 79.7 78.5 80.0 30.4 71.6 21.2
A0A0V1JRI2 LSLS2++,3-++                 164-470 71-622  80.8 79.8 82.6 33.2 79.2 23.4
A0A0V1JRN9 LSLS2++,2++                  164-474 71-603  61.2 77.1 80.2 27.7 77.2 23.3
A0A0V1PPA9 LSLS2++,3-++                 169-483 76-635  76.7 78.2 79.0 32.8 75.8 24.3
A0A0V1DFX7 LSLS2++,3-++                 169-451 76-603  82.4 81.5 77.7 35.5 73.8 20.2
